Meridian_No, Led_No, X, Y, Z
origin,,,,
23,7,325.89,85.31,191.61
23,8,352.62,107.22,207.31
23,9,375.53,127.98,220.76
23,10,397.73,149.68,233.8
23,11,418.5,172.52,246.01
23,12,437.94,196.75,257.42
23,13,456.37,221.93,268.25
23,14,473.42,248.57,278.26
23,15,489.36,278.63,287.63
23,16,503.29,305.42,295.81
23,17,515.59,334.62,303.04
23,18,527.48,366.34,310.02
23,19,538.07,394.49,316.24
23,20,546.15,427.67,320.98
23,21,552.25,459.93,324.57
23,22,557.87,491.47,327.87
24,1,192.89,5.26,51.21
24,2,223.41,16.7,59.24
24,3,252.66,29.2,66.94
24,4,281.29,43.97,74.48
24,5,306.37,60,81.08
24,6,333.66,77.75,88.26
24,7,360.46,97.5,95.32
24,8,385.51,117.57,101.91
24,9,412.87,141.58,109.12
24,10,435.31,164.35,115.02
24,11,457.29,189.46,120.81
24,12,477.81,215.08,126.21
24,13,499.28,245.89,131.86
24,14,516.33,271.39,136.35
24,15,532.16,299.9,140.52
24,16,546.35,330.58,144.25
24,17,559.45,361.66,147.7
24,18,571.46,393.86,150.86
24,19,582.95,420.27,153.89
24,20,590.83,451.02,155.96
24,21,598.16,484.01,157.89
24,22,604.29,516.63,159.51
